id| productID| name| brand | company|Link|PETA (Cruelty Free)|Fair Trade (Worker Rights)|HRC (Gender Equality)| avgscore
50|4|Laptop Backpack- Business Water Resistant Laptops Backpack Gift for Men Women with Lock and USB Charging Port|Mancro|Dongguan Deego Trading Co.|https://smile.amazon.com/Backpack-Computer-Resistant-Business-Mancro/dp/B01LY3QXGP/ref=sxin_11?ascsubtag=amzn1.osa.27db3c9e-debf-4e82-b72d-ddd07f771085.ATVPDKIKX0DER.en_US&creativeASIN=B01LY3QXGP&cv_ct_cx=backpack&cv_ct_id=amzn1.osa.27db3c9e-debf-4e82-b72d-ddd07f771085.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_wn=osp-single-source&dchild=1&keywords=backpack&linkCode=oas&pd_rd_i=B01LY3QXGP&pd_rd_r=d2714b5c-9874-420f-9c21-54e709e465a4&pd_rd_w=r2VZb&pd_rd_wg=T0Ahn&pf_rd_p=2cbead2a-6372-4074-8542-2ce826abf986&pf_rd_r=AXZMMCB696B75ECWFYWX&qid=1588557703&sr=1-2-72d6bf18-a4db-4490-a794-9cd9552ac58d&tag=scrippsonsite-20|0|0|100|0
51|5|Olay Regenerist Regenerating Cream Face Cleanser, 5 fl oz|Olay|Proctor & Gamble|https://smile.amazon.com/s?k=face+wash&ref=nb_sb_noss_1|0|0|10|0
52|5|La Roche-Posay Toleriane Hydrating Gentle Cleanser|La Roche-Posay|L'Oreal|https://smile.amazon.com/s?k=face+wash&ref=nb_sb_noss_1|0|0|20|0
53|5|Clean & Clear Oil-Free Deep Action Exfoliating Facial Scrub|Clean & Clear|Johnson & Johnson|https://smile.amazon.com/s?k=face+wash&ref=nb_sb_noss_1|0|0|30|0
54|5|CeraVe Hydrating Face Wash - 16 Ounce, Daily Facial Cleanser for Dry Skin|CeraVe|L'Oreal|https://smile.amazon.com/s?k=face+wash&ref=nb_sb_noss_1|0|0|40|0
55|5|Cetaphil Gentle Skin Cleanser for All Skin Types- 20 Oz|Cetaphil|Galderma Laboratories|https://smile.amazon.com/s?k=face+wash&ref=nb_sb_noss_1|0|0|50|0
56|5|Neutrogena Rapid Clear Stubborn Acne Face Wash with 10% Benzoyl Peroxide Acne Treatment Medicine|Neutrogena|Johnson & Johnson|https://smile.amazon.com/Neutrogena-Stubborn-Acne-Cleanser-Peroxide/dp/B00S49XI6M/ref=sxin_7_sk-bs-1-na_42c87d26e3c451e6280e85849769e2a05a315526?cv_ct_cx=face+wash&dchild=1&keywords=face+wash&pd_rd_i=B00S49XI6M&pd_rd_r=a8652f0d-744d-4646-aaf5-c428f11763c1&pd_rd_w=OCYIC&pd_rd_wg=IIbQw&pf_rd_p=91c15027-f93d-4ad3-b2a0-a2b84f7b20a1&pf_rd_r=BP8FCR1C364T2T8KA4QF&qid=1588558592&sr=1-1-19adb3fb-fdf7-40db-b78f-c677b04bb4de|0|0|60|0
57|5|Glycolic Acid Face Wash Exfoliating Cleanser 6Oz w/10% Glycolic Acid|Botanic Tree|Botanic Tree|https://smile.amazon.com/Glycolic-Exfoliating-Reduction-Acne-Clean-100-Tree/dp/B06WRPJW3V/ref=sxin_7_sk-bs-1-na_42c87d26e3c451e6280e85849769e2a05a315526?cv_ct_cx=face+wash&dchild=1&keywords=face+wash&pd_rd_i=B06WRPJW3V&pd_rd_r=4b52e63f-5297-4ef6-8670-9a59159f85d4&pd_rd_w=8ftSF&pd_rd_wg=D8Sgl&pf_rd_p=91c15027-f93d-4ad3-b2a0-a2b84f7b20a1&pf_rd_r=Q21MGSTTQEDHBRXTWT8V&qid=1588559635&sr=1-2-19adb3fb-fdf7-40db-b78f-c677b04bb4de|100|0|70|0
58|5|Aveeno Positively Radiant Skin Brightening Daily Facial Scrub, 5 Oz|Aveeno|Johnson & Johnson|https://smile.amazon.com/s?k=face+wash&ref=nb_sb_noss_1|0|0|80|0
59|5|NIVEA Men Maximum Hydration Moisturizing Face Wash - Helps Prevent Dry Tight Skin - 5 fl. oz. Tube|NIVEA|maxingvest ag|https://smile.amazon.com/NIVEA-Original-Moisturizing-Face-Wash/dp/B005OKYNW2/ref=sxin_9_ac_d_rm?ac_md=2-2-ZmFjZSB3YXNoIG1lbg%3D%3D-ac_d_rm&cv_ct_cx=face+wash&dchild=1&keywords=face+wash&pd_rd_i=B005OKYNW2&pd_rd_r=4b52e63f-5297-4ef6-8670-9a59159f85d4&pd_rd_w=ab1VU&pd_rd_wg=D8Sgl&pf_rd_p=a0516f22-66df-4efd-8b9a-279a864d1512&pf_rd_r=Q21MGSTTQEDHBRXTWT8V&psc=1&qid=1588559635&sr=1-3-12d4272d-8adb-4121-8624-135149aa9081|0|0|90|0
